STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,POLLUTANT,,MEASURE,,UNIT_MEASURE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,PRICE_BASE,,BASE_PER,,DECIMALS,,CONVERSION_TYPE,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,BEL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,10.25028,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CAN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,20.03908,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CHL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.696826,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,COL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,3.476127,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CRI,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,3.16124,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CZE,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,12.21656,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,DNK,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,8.648594,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,EST,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,15.76337,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,FIN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.988059,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,FRA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.110206,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,DEU,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,10.616,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GRC,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,8.950194,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,HUN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,6.664885,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,ISL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,14.21876,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,IRL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,12.87677,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,ISR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.580019,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,ITA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.159425,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,JPN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.992245,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,KOR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,14.74389,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,LVA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.551417,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,LTU,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.007361,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,LUX,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,17.24055,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MEX,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,6.142427,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,NLD,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,11.09322,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,NZL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,17.17259,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,NOR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.982174,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,POL,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,10.66434,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,PRT,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,6.846301,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,SVK,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.744914,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,SVN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,8.639655,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,ESP,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.111025,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,SWE,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.199349,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CHE,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.731875,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,TUR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,6.407755,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GBR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.134717,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,USA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,19.71985,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,EU27_2020,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,8.586848,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,OECD,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,11.6521,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,OECDA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,14.77639,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,OECDSO,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,12.72441,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,OECDE,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,8.193707,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,DZA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.087825,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,ARG,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.752652,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,BLR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.421781,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,BRA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.765045,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,BRN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,25.98647,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,BGR,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,8.421081,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CIV,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,1.741144,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,HRV,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,6.318025,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CUB,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,4.84334,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,CYP,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,7.117575,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,EGY,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,3.436196,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GEO,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,4.690071,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GHA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,1.265825,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GTM,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,1.852833,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GNB,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,0.7177915,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,GUY,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,6.172941,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,VAT,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,30.69888,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,IDN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,3.26231,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,KAZ,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,20.84414,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,KEN,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,1.201175,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,LIE,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,5.090501,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MYS,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,9.808034,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MDV,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,3.957199,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MLT,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,4.311118,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MUS,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,4.435731,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MDA,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,4.155583,,A,,3,,,,,,2,,,
DATAFLOW,OECD.ENV.EPI:DSD_AIR_GHG@DF_AIR_GHG(1.0),,I,MCO,,A,,GHG,,_T,,KG_CO2E_PS,,2017,,2.212514,,A,,3,,,,,,2,,,
